#### EXPORT DONNEES METEO POUR "TOULOUSE (HAUTE-GARONNE)" (LAT/LON: 43.604652/1.444209)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2019-01-01,6,3,12,3,5,4,0,88,10,1034,15.375,7,3,1,113,116,116,0,1,8.7,météo très défavorable
2019-01-02,7,3,16,3,5,6,0,90,10,1035,39.5,7,2,-1,119,116,116,0,1,6.9,météo très défavorable
2019-01-03,8,2,7,2,6,7,0,76,10,1034,4.25,8,0,3,116,116,116,0,1,8.7,météo très défavorable
2019-01-04,7,1,6,1,5,5,0,54,10,1035,15.375,7,0,2,116,116,116,0,1,8.7,météo très défavorable
2019-01-05,6,-0,16,0,4,4,0,70,10,1035,9.75,6,0,-3,116,116,116,0,1,8.7,météo très défavorable
2019-01-06,5,-1,16,-1,3,3,0,92,8,1035,25.25,5,0,-5,143,116,116,0,1,8.7,météo très défavorable
2019-01-07,4,-1,18,-1,2,3,0,91,10,1036,66.875,4,1,-5,119,116,119,0,1,5.2,météo très défavorable
2019-01-08,6,2,23,2,4,6,0.5,95,8.375,1036,88.5,6,5,-1,119,176,176,0,1,3.4,météo très défavorable
2019-01-09,7,4,24,6,6,5,0.4,87,9.625,1027,61.625,7,5,1,353,116,176,0,1,6.9,météo très défavorable
2019-01-10,4,-1,22,-0,3,2,0,90,10,1027,47,4,0,-5,116,116,326,0,1,6.9,météo très défavorable
